,Generation,Identity,Population
0,0,00,209.0
1,1,00,220.0
2,2,00,235.0
3,3,00,244.0
4,4,00,260.5
5,5,00,274.5
6,6,00,289.5
7,7,00,307.5
8,8,00,325.5
9,9,00,343.0
10,10,00,370.0
11,11,00,389.0
12,12,00,414.5
13,13,00,433.0
14,14,00,454.0
15,15,00,483.0
16,16,00,521.0
17,17,00,554.5
18,18,00,593.5
19,19,00,628.0
20,20,00,665.0
21,21,00,716.5
22,22,00,760.0
23,23,00,802.5
24,24,00,851.0
25,25,00,899.5
26,26,00,955.5
27,27,00,1002.0
28,28,00,1056.5
29,29,00,1117.0
30,30,00,1176.0
31,31,00,1249.0
32,32,00,1327.5
33,33,00,1410.5
34,34,00,1500.0
35,35,00,1589.0
36,36,00,1689.5
37,37,00,1783.0
38,38,00,1887.0
39,39,00,2003.0
40,40,00,2135.0
41,41,00,2271.0
42,42,00,2408.0
43,43,00,2568.5
44,44,00,2736.5
45,45,00,2878.0
46,46,00,3022.0
47,47,00,3186.5
48,48,00,3371.0
49,49,00,3561.5
50,50,00,3755.0
51,51,00,3953.5
52,52,00,4204.5
53,53,00,4460.5
54,54,00,4726.0
55,55,00,5013.0
56,56,00,5351.5
57,57,00,5688.5
58,58,00,6045.5
59,59,00,6465.0
60,60,00,6888.5
61,61,00,7347.0
62,62,00,7951.0
63,63,00,8646.0
64,64,00,9431.0
65,65,00,10331.0
66,66,00,11446.0
67,67,00,12718.5
68,68,00,14281.0
69,69,00,16078.0
70,70,00,18230.5
71,71,00,20748.0
72,72,00,23746.5
73,73,00,27325.0
74,74,00,31663.5
75,75,00,36937.5
76,76,00,38621.0
77,77,00,40625.0
78,78,00,42915.5
79,79,00,45677.0
80,80,00,48978.5
81,81,00,52830.0
82,82,00,57412.0
83,83,00,63010.0
84,84,00,63010.0
85,85,00,63010.0
86,86,00,63010.0
87,87,00,63010.0
88,88,00,63010.0
89,89,00,63010.0
90,90,00,63010.0
91,91,00,63010.0
92,92,00,63010.0
93,93,00,63010.0
94,94,00,63010.0
95,95,00,63010.0
96,96,00,63010.0
97,97,00,63010.0
98,98,00,63010.0
99,99,00,63010.0
100,100,00,63010.0
101,101,00,63010.0
102,102,00,63010.0
103,103,00,63010.0
104,104,00,63010.0
105,105,00,63010.0
106,106,00,63010.0
107,107,00,63010.0
108,108,00,63010.0
109,109,00,63010.0
110,110,00,63010.0
111,111,00,63010.0
112,112,00,63010.0
113,113,00,63010.0
114,114,00,63010.0
115,115,00,63010.0
116,116,00,63010.0
117,117,00,63010.0
118,118,00,63010.0
119,119,00,63010.0
120,120,00,63010.0
121,121,00,63010.0
122,122,00,63010.0
123,123,00,63010.0
124,124,00,63010.0
125,125,00,63010.0
126,126,00,63010.0
127,127,00,63010.0
128,128,00,63010.0
129,129,00,63010.0
130,130,00,63010.0
131,131,00,63010.0
132,132,00,63010.0
133,133,00,63010.0
134,134,00,63010.0
135,135,00,63010.0
136,136,00,63010.0
137,137,00,63010.0
138,138,00,63010.0
139,139,00,63010.0
140,140,00,63010.0
141,141,00,63010.0
142,142,00,63010.0
143,143,00,63010.0
144,144,00,63010.0
145,145,00,63010.0
146,146,00,63010.0
147,147,00,63010.0
148,148,00,63010.0
149,149,00,63010.0
150,150,00,63010.0
151,151,00,63010.0
152,152,00,63010.0
153,153,00,63010.0
154,154,00,63010.0
155,155,00,63010.0
156,156,00,63010.0
157,157,00,63010.0
158,158,00,63010.0
159,159,00,63010.0
160,160,00,63010.0
161,161,00,63010.0
162,162,00,63010.0
163,163,00,63010.0
164,164,00,63010.0
165,165,00,63010.0
166,166,00,63010.0
167,167,00,63010.0
168,168,00,63010.0
169,169,00,63010.0
170,170,00,63010.0
171,171,00,63010.0
172,172,00,63010.0
173,173,00,63010.0
174,174,00,63010.0
175,175,00,63010.0
176,176,00,63010.0
177,177,00,63010.0
178,178,00,63010.0
179,179,00,63010.0
180,180,00,63010.0
181,181,00,63010.0
182,182,00,63010.0
183,183,00,63010.0
184,184,00,63010.0
185,185,00,63010.0
186,186,00,63010.0
187,187,00,63010.0
188,188,00,63010.0
189,189,00,63010.0
190,190,00,63010.0
191,191,00,63010.0
192,192,00,63010.0
193,193,00,63010.0
194,194,00,63010.0
195,195,00,63010.0
196,196,00,63010.0
197,197,00,63010.0
198,198,00,63010.0
199,199,00,63010.0
200,200,00,63010.0
201,201,00,63010.0
202,202,00,63010.0
203,203,00,63010.0
204,204,00,63010.0
205,205,00,63010.0
206,206,00,63010.0
207,207,00,63010.0
208,208,00,63010.0
209,209,00,63010.0
210,210,00,63010.0
211,211,00,63010.0
212,212,00,63010.0
213,213,00,63010.0
214,214,00,63010.0
215,215,00,63010.0
216,216,00,63010.0
217,217,00,63010.0
218,218,00,63010.0
219,219,00,63010.0
220,220,00,63010.0
221,221,00,63010.0
222,222,00,63010.0
223,223,00,63010.0
224,224,00,63010.0
225,225,00,63010.0
226,226,00,63010.0
227,227,00,63010.0
228,228,00,63010.0
229,229,00,63010.0
230,230,00,63010.0
231,231,00,63010.0
232,232,00,63010.0
233,233,00,63010.0
234,234,00,63010.0
235,235,00,63010.0
236,236,00,63010.0
237,237,00,63010.0
238,238,00,63010.0
239,239,00,63010.0
240,240,00,63010.0
241,241,00,63010.0
242,242,00,63010.0
243,243,00,63010.0
244,244,00,63010.0
245,245,00,63010.0
246,246,00,63010.0
247,247,00,63010.0
248,248,00,63010.0
249,249,00,63010.0
250,250,00,63010.0
251,251,00,63010.0
252,252,00,63010.0
253,253,00,63010.0
254,254,00,63010.0
255,255,00,63010.0
256,256,00,63010.0
257,257,00,63010.0
258,258,00,63010.0
259,259,00,63010.0
260,260,00,63010.0
261,261,00,63010.0
262,262,00,63010.0
263,263,00,63010.0
264,264,00,63010.0
265,265,00,63010.0
266,266,00,63010.0
267,267,00,63010.0
268,268,00,63010.0
269,269,00,63010.0
270,270,00,63010.0
271,271,00,63010.0
272,272,00,63010.0
273,273,00,63010.0
274,274,00,63010.0
275,275,00,63010.0
276,276,00,63010.0
277,277,00,63010.0
278,278,00,63010.0
279,279,00,63010.0
280,280,00,63010.0
281,281,00,63010.0
282,282,00,63010.0
283,283,00,63010.0
284,284,00,63010.0
285,285,00,63010.0
286,286,00,63010.0
287,287,00,63010.0
288,288,00,63010.0
289,289,00,63010.0
290,290,00,63010.0
291,291,00,63010.0
292,292,00,63010.0
293,293,00,63010.0
294,294,00,63010.0
295,295,00,63010.0
296,296,00,63010.0
297,297,00,63010.0
298,298,00,63010.0
299,0,01,0.0
300,1,01,0.0
301,2,01,0.5
302,3,01,0.5
303,4,01,0.5
304,5,01,0.5
305,6,01,1.0
306,7,01,1.5
307,8,01,1.5
308,9,01,2.0
309,10,01,2.5
310,11,01,3.0
311,12,01,3.5
312,13,01,3.5
313,14,01,2.5
314,15,01,3.5
315,16,01,3.0
316,17,01,2.5
317,18,01,3.5
318,19,01,3.5
319,20,01,5.0
320,21,01,5.0
321,22,01,6.5
322,23,01,9.0
323,24,01,10.0
324,25,01,11.5
325,26,01,13.0
326,27,01,16.0
327,28,01,20.0
328,29,01,23.0
329,30,01,28.0
330,31,01,29.0
331,32,01,34.5
332,33,01,39.5
333,34,01,45.0
334,35,01,50.5
335,36,01,55.0
336,37,01,64.0
337,38,01,70.5
338,39,01,85.5
339,40,01,94.5
340,41,01,112.5
341,42,01,128.5
342,43,01,146.5
343,44,01,160.5
344,45,01,186.5
345,46,01,210.5
346,47,01,235.0
347,48,01,266.5
348,49,01,306.0
349,50,01,345.5
350,51,01,400.0
351,52,01,452.0
352,53,01,508.0
353,54,01,577.0
354,55,01,659.5
355,56,01,734.5
356,57,01,834.5
357,58,01,961.0
358,59,01,1104.5
359,60,01,1267.0
360,61,01,1482.0
361,62,01,1753.0
362,63,01,2072.5
363,64,01,2438.5
364,65,01,2969.0
365,66,01,3699.0
366,67,01,4696.5
367,68,01,6197.0
368,69,01,8433.0
369,70,01,12134.0
370,71,01,18114.5
371,72,01,28478.5
372,73,01,46731.0
373,74,01,79436.0
374,75,01,138326.5
375,76,01,139967.0
376,77,01,142518.0
377,78,01,146591.0
378,79,01,153438.5
379,80,01,165248.0
380,81,01,185876.5
381,82,01,222642.0
382,83,01,289531.5
383,84,01,289531.5
384,85,01,289531.5
385,86,01,289531.5
386,87,01,289531.5
387,88,01,289531.5
388,89,01,289531.5
389,90,01,289531.5
390,91,01,289531.5
391,92,01,289531.5
392,93,01,289531.5
393,94,01,289531.5
394,95,01,289531.5
395,96,01,289531.5
396,97,01,289531.5
397,98,01,289531.5
398,99,01,289531.5
399,100,01,289531.5
400,101,01,289531.5
401,102,01,289531.5
402,103,01,289531.5
403,104,01,289531.5
404,105,01,289531.5
405,106,01,289531.5
406,107,01,289531.5
407,108,01,289531.5
408,109,01,289531.5
409,110,01,289531.5
410,111,01,289531.5
411,112,01,289531.5
412,113,01,289531.5
413,114,01,289531.5
414,115,01,289531.5
415,116,01,289531.5
416,117,01,289531.5
417,118,01,289531.5
418,119,01,289531.5
419,120,01,289531.5
420,121,01,289531.5
421,122,01,289531.5
422,123,01,289531.5
423,124,01,289531.5
424,125,01,289531.5
425,126,01,289531.5
426,127,01,289531.5
427,128,01,289531.5
428,129,01,289531.5
429,130,01,289531.5
430,131,01,289531.5
431,132,01,289531.5
432,133,01,289531.5
433,134,01,289531.5
434,135,01,289531.5
435,136,01,289531.5
436,137,01,289531.5
437,138,01,289531.5
438,139,01,289531.5
439,140,01,289531.5
440,141,01,289531.5
441,142,01,289531.5
442,143,01,289531.5
443,144,01,289531.5
444,145,01,289531.5
445,146,01,289531.5
446,147,01,289531.5
447,148,01,289531.5
448,149,01,289531.5
449,150,01,289531.5
450,151,01,289531.5
451,152,01,289531.5
452,153,01,289531.5
453,154,01,289531.5
454,155,01,289531.5
455,156,01,289531.5
456,157,01,289531.5
457,158,01,289531.5
458,159,01,289531.5
459,160,01,289531.5
460,161,01,289531.5
461,162,01,289531.5
462,163,01,289531.5
463,164,01,289531.5
464,165,01,289531.5
465,166,01,289531.5
466,167,01,289531.5
467,168,01,289531.5
468,169,01,289531.5
469,170,01,289531.5
470,171,01,289531.5
471,172,01,289531.5
472,173,01,289531.5
473,174,01,289531.5
474,175,01,289531.5
475,176,01,289531.5
476,177,01,289531.5
477,178,01,289531.5
478,179,01,289531.5
479,180,01,289531.5
480,181,01,289531.5
481,182,01,289531.5
482,183,01,289531.5
483,184,01,289531.5
484,185,01,289531.5
485,186,01,289531.5
486,187,01,289531.5
487,188,01,289531.5
488,189,01,289531.5
489,190,01,289531.5
490,191,01,289531.5
491,192,01,289531.5
492,193,01,289531.5
493,194,01,289531.5
494,195,01,289531.5
495,196,01,289531.5
496,197,01,289531.5
497,198,01,289531.5
498,199,01,289531.5
499,200,01,289531.5
500,201,01,289531.5
501,202,01,289531.5
502,203,01,289531.5
503,204,01,289531.5
504,205,01,289531.5
505,206,01,289531.5
506,207,01,289531.5
507,208,01,289531.5
508,209,01,289531.5
509,210,01,289531.5
510,211,01,289531.5
511,212,01,289531.5
512,213,01,289531.5
513,214,01,289531.5
514,215,01,289531.5
515,216,01,289531.5
516,217,01,289531.5
517,218,01,289531.5
518,219,01,289531.5
519,220,01,289531.5
520,221,01,289531.5
521,222,01,289531.5
522,223,01,289531.5
523,224,01,289531.5
524,225,01,289531.5
525,226,01,289531.5
526,227,01,289531.5
527,228,01,289531.5
528,229,01,289531.5
529,230,01,289531.5
530,231,01,289531.5
531,232,01,289531.5
532,233,01,289531.5
533,234,01,289531.5
534,235,01,289531.5
535,236,01,289531.5
536,237,01,289531.5
537,238,01,289531.5
538,239,01,289531.5
539,240,01,289531.5
540,241,01,289531.5
541,242,01,289531.5
542,243,01,289531.5
543,244,01,289531.5
544,245,01,289531.5
545,246,01,289531.5
546,247,01,289531.5
547,248,01,289531.5
548,249,01,289531.5
549,250,01,289531.5
550,251,01,289531.5
551,252,01,289531.5
552,253,01,289531.5
553,254,01,289531.5
554,255,01,289531.5
555,256,01,289531.5
556,257,01,289531.5
557,258,01,289531.5
558,259,01,289531.5
559,260,01,289531.5
560,261,01,289531.5
561,262,01,289531.5
562,263,01,289531.5
563,264,01,289531.5
564,265,01,289531.5
565,266,01,289531.5
566,267,01,289531.5
567,268,01,289531.5
568,269,01,289531.5
569,270,01,289531.5
570,271,01,289531.5
571,272,01,289531.5
572,273,01,289531.5
573,274,01,289531.5
574,275,01,289531.5
575,276,01,289531.5
576,277,01,289531.5
577,278,01,289531.5
578,279,01,289531.5
579,280,01,289531.5
580,281,01,289531.5
581,282,01,289531.5
582,283,01,289531.5
583,284,01,289531.5
584,285,01,289531.5
585,286,01,289531.5
586,287,01,289531.5
587,288,01,289531.5
588,289,01,289531.5
589,290,01,289531.5
590,291,01,289531.5
591,292,01,289531.5
592,293,01,289531.5
593,294,01,289531.5
594,295,01,289531.5
595,296,01,289531.5
596,297,01,289531.5
597,298,01,289531.5
598,0,10,1.0
599,1,10,1.5
600,2,10,3.0
601,3,10,4.0
602,4,10,4.5
603,5,10,5.0
604,6,10,5.5
605,7,10,6.5
606,8,10,7.0
607,9,10,8.0
608,10,10,8.0
609,11,10,7.5
610,12,10,9.5
611,13,10,11.5
612,14,10,13.0
613,15,10,14.5
614,16,10,17.5
615,17,10,20.0
616,18,10,23.0
617,19,10,24.5
618,20,10,27.5
619,21,10,32.0
620,22,10,37.5
621,23,10,44.0
622,24,10,50.0
623,25,10,51.5
624,26,10,58.0
