,Generation,Identity,Population
0,0,00,216.5
1,1,00,228.0
2,2,00,239.0
3,3,00,255.5
4,4,00,273.5
5,5,00,288.5
6,6,00,304.5
7,7,00,317.5
8,8,00,335.5
9,9,00,351.5
10,10,00,374.5
11,11,00,395.0
12,12,00,419.5
13,13,00,442.5
14,14,00,476.0
15,15,00,506.0
16,16,00,544.5
17,17,00,578.0
18,18,00,607.5
19,19,00,647.5
20,20,00,684.5
21,21,00,729.5
22,22,00,764.5
23,23,00,818.0
24,24,00,867.5
25,25,00,922.5
26,26,00,983.5
27,27,00,1036.5
28,28,00,1096.0
29,29,00,1162.5
30,30,00,1223.5
31,31,00,1283.5
32,32,00,1373.0
33,33,00,1463.0
34,34,00,1544.5
35,35,00,1634.5
36,36,00,1733.0
37,37,00,1835.0
38,38,00,1952.0
39,39,00,2066.5
40,40,00,2194.5
41,41,00,2317.0
42,42,00,2451.0
43,43,00,2591.0
44,44,00,2739.5
45,45,00,2893.0
46,46,00,3076.5
47,47,00,3245.5
48,48,00,3449.5
49,49,00,3656.0
50,50,00,3880.0
51,51,00,4114.5
52,52,00,4366.0
53,53,00,4639.0
54,54,00,4933.5
55,55,00,5227.5
56,56,00,5541.0
57,57,00,5874.5
58,58,00,6233.0
59,59,00,6601.5
60,60,00,6992.0
61,61,00,7419.0
62,62,00,7844.5
63,63,00,8324.5
64,64,00,8824.5
65,65,00,9355.0
66,66,00,9932.0
67,67,00,10532.0
68,68,00,11141.5
69,69,00,11845.0
70,70,00,12573.0
71,71,00,13336.0
72,72,00,14142.5
73,73,00,14987.5
74,74,00,15893.5
75,75,00,16829.0
76,76,00,17826.0
77,77,00,18871.0
78,78,00,19967.5
79,79,00,21158.5
80,80,00,22428.0
81,81,00,23720.5
82,82,00,25116.0
83,83,00,26602.0
84,84,00,28158.5
85,85,00,29804.0
86,86,00,31551.0
87,87,00,33449.0
88,88,00,35443.5
89,89,00,37444.0
90,90,00,39648.5
91,91,00,41966.5
92,92,00,44466.0
93,93,00,47103.0
94,94,00,49892.5
95,95,00,52896.5
96,96,00,55944.5
97,97,00,59257.0
98,98,00,62758.0
99,99,00,66445.5
100,100,00,70324.0
101,101,00,74385.5
102,102,00,78865.5
103,103,00,83518.0
104,104,00,88427.0
105,105,00,93701.0
106,106,00,99171.5
107,107,00,105117.5
108,108,00,111362.0
109,109,00,117859.0
110,110,00,124839.0
111,111,00,132252.0
112,112,00,140135.0
113,113,00,148426.0
114,114,00,157247.5
115,115,00,166469.0
116,116,00,176317.0
117,117,00,186734.5
118,118,00,197716.0
119,119,00,209410.0
120,120,00,221910.0
121,121,00,234987.0
122,122,00,249010.0
123,123,00,264031.0
124,124,00,279822.5
125,125,00,296710.0
126,126,00,314611.5
127,127,00,333676.5
128,128,00,353857.5
129,129,00,375362.5
130,130,00,398131.5
131,131,00,422369.5
132,132,00,448087.0
133,133,00,476033.5
134,134,00,505734.5
135,135,00,537734.5
136,136,00,571910.0
137,137,00,609028.5
138,138,00,649499.0
139,139,00,693751.0
140,140,00,742040.0
141,141,00,795211.0
142,142,00,854875.5
143,143,00,922451.5
144,144,00,1000557.0
145,145,00,1090789.0
146,146,00,1196141.0
147,147,00,1321434.5
148,148,00,1468432.0
149,149,00,1513173.5
150,150,00,1564165.0
151,151,00,1622524.0
152,152,00,1690037.0
153,153,00,1770258.5
154,154,00,1865325.5
155,155,00,1981156.5
156,156,00,2122126.5
157,157,00,2293354.5
158,158,00,2293354.5
159,159,00,2293354.5
160,160,00,2293354.5
161,161,00,2293354.5
162,162,00,2293354.5
163,163,00,2293354.5
164,164,00,2293354.5
165,165,00,2293354.5
166,166,00,2293354.5
167,167,00,2293354.5
168,168,00,2293354.5
169,169,00,2293354.5
170,170,00,2293354.5
171,171,00,2293354.5
172,172,00,2293354.5
173,173,00,2293354.5
174,174,00,2293354.5
175,175,00,2293354.5
176,176,00,2293354.5
177,177,00,2293354.5
178,178,00,2293354.5
179,179,00,2293354.5
180,180,00,2293354.5
181,181,00,2293354.5
182,182,00,2293354.5
183,183,00,2293354.5
184,184,00,2293354.5
185,185,00,2293354.5
186,186,00,2293354.5
187,187,00,2293354.5
188,188,00,2293354.5
189,189,00,2293354.5
190,190,00,2293354.5
191,191,00,2293354.5
192,192,00,2293354.5
193,193,00,2293354.5
194,194,00,2293354.5
195,195,00,2293354.5
196,196,00,2293354.5
197,197,00,2293354.5
198,198,00,2293354.5
199,199,00,2293354.5
200,200,00,2293354.5
201,201,00,2293354.5
202,202,00,2293354.5
203,203,00,2293354.5
204,204,00,2293354.5
205,205,00,2293354.5
206,206,00,2293354.5
207,207,00,2293354.5
208,208,00,2293354.5
209,209,00,2293354.5
210,210,00,2293354.5
211,211,00,2293354.5
212,212,00,2293354.5
213,213,00,2293354.5
214,214,00,2293354.5
215,215,00,2293354.5
216,216,00,2293354.5
217,217,00,2293354.5
218,218,00,2293354.5
219,219,00,2293354.5
220,220,00,2293354.5
221,221,00,2293354.5
